Date,Open,High,Low,Close,Adj Close,Volume
2018-07-30,48.580002,48.580002,47.459999,47.730000,43.799435,20167300
2018-07-31,47.900002,48.080002,47.389999,47.680000,43.753563,18808100
2018-08-01,47.910000,48.220001,47.150002,47.349998,43.450733,22933600
2018-08-02,47.040001,48.070000,46.630001,47.900002,43.955433,14227400
2018-08-03,47.919998,48.480000,47.900002,48.470001,44.478504,14295800
2018-08-06,48.290001,48.759998,48.220001,48.669998,44.662033,13529300
2018-08-07,48.939999,48.950001,48.470001,48.480000,44.487682,11608000
2018-08-08,48.419998,48.619999,48.259998,48.389999,44.405090,10849400
2018-08-09,48.270000,48.709999,48.270000,48.540001,44.542740,14708000
2018-08-10,48.369999,48.720001,48.230000,48.320000,44.340858,10502200
2018-08-13,48.340000,48.590000,47.970001,48.009998,44.056393,12152100
2018-08-14,48.119999,48.349998,47.939999,48.230000,44.258270,11513700
2018-08-15,48.099998,48.259998,47.529999,47.840000,43.900387,14091000
2018-08-16,48.139999,48.450001,48.040001,48.099998,44.138973,11874300
2018-08-17,48.209999,48.500000,47.990002,48.360001,44.377563,11412000
2018-08-20,48.400002,48.599998,48.259998,48.419998,44.432617,11936700
2018-08-21,48.580002,48.639999,48.369999,48.410000,44.423447,10187600
2018-08-22,48.340000,48.910000,48.240002,48.799999,44.781322,11639400
2018-08-23,48.799999,49.340000,48.680000,48.959999,44.928154,11026700
2018-08-24,49.000000,49.389999,48.970001,49.259998,45.203453,14011700
2018-08-27,49.410000,49.700001,49.290001,49.330002,45.267689,12253300
2018-08-28,49.389999,49.430000,48.599998,48.639999,44.634499,15475700
2018-08-29,48.639999,49.099998,48.639999,48.889999,44.863911,17307700
2018-08-30,48.889999,48.889999,48.310001,48.380001,44.395927,15154900
2018-08-31,48.380001,48.630001,48.349998,48.580002,44.579437,17844100
2018-09-04,48.360001,48.830002,48.160000,48.580002,44.579437,17289000
2018-09-05,48.410000,48.490002,47.790001,48.040001,44.083927,16437700
2018-09-06,47.950001,48.220001,47.520000,47.709999,43.781082,18456100
2018-09-07,47.459999,47.990002,47.330002,47.810001,43.872860,20513900
2018-09-10,48.000000,49.049999,48.000000,48.860001,44.836391,20390600
2018-09-11,48.520000,49.049999,48.520000,48.919998,44.891441,14877200
2018-09-12,48.750000,49.470001,48.619999,49.340000,45.276863,17058700
2018-09-13,49.279999,49.750000,48.880001,48.959999,44.928154,22124400
2018-09-14,48.939999,49.450001,48.939999,49.250000,45.194275,20066100
2018-09-17,49.310001,49.939999,49.110001,49.180000,45.130039,29225000
2018-09-18,47.509998,49.540001,47.360001,49.029999,44.992390,33451100
2018-09-19,48.919998,49.540001,48.660000,49.430000,45.359459,20904800
2018-09-20,49.660000,51.080002,49.560001,50.430000,46.277103,26973500
2018-09-21,50.830002,51.119999,50.349998,51.099998,46.891922,50751900
2018-09-24,50.810001,51.599998,50.709999,51.240002,47.020397,23906100
2018-09-25,51.389999,51.930000,50.970001,51.720001,47.460869,18665800
2018-09-26,51.750000,52.110001,51.560001,51.630001,47.378273,18131000
2018-09-27,51.560001,52.020000,51.330002,51.689999,47.433338,17993500
2018-09-28,51.540001,52.009998,51.490002,51.560001,47.314049,16234200
2018-10-01,51.220001,51.990002,51.139999,51.799999,47.534283,19217800
2018-10-02,51.650002,51.799999,50.130001,50.230000,46.093567,22406800
2018-10-03,49.590000,50.099998,49.590000,49.750000,45.653091,21207600
2018-10-04,49.680000,49.779999,49.169998,49.470001,45.396160,19034000
2018-10-05,49.419998,49.770000,49.119999,49.349998,45.286030,16900200
2018-10-08,49.270000,49.639999,48.900002,49.360001,45.295208,16295800
2018-10-09,49.110001,49.400002,48.830002,48.869999,44.845566,19009800
2018-10-10,48.810001,48.980000,47.369999,47.400002,43.496620,20885400
2018-10-11,47.330002,47.889999,46.490002,46.779999,42.927673,26387600
2018-10-12,47.400002,47.750000,46.660000,47.380001,43.478268,23152800
2018-10-15,46.959999,47.619999,46.869999,47.119999,43.413769,15693400
2018-10-16,47.570000,48.419998,47.470001,48.230000,44.436466,13600200
2018-10-17,47.430000,48.240002,47.430000,47.860001,44.095566,15071100
2018-10-18,47.570000,48.139999,47.130001,47.380001,43.653324,15084800
2018-10-19,47.500000,48.240002,47.349998,47.590000,43.846806,17768400
2018-10-22,47.849998,48.490002,47.709999,47.939999,44.169277,16480200
2018-10-23,47.160000,48.320000,47.119999,47.990002,44.215351,18921500
2018-10-24,47.880001,48.299999,46.700001,46.759998,43.082092,20028200
2018-10-25,47.419998,48.290001,47.279999,47.959999,44.187702,19349300
2018-10-26,47.240002,48.070000,46.709999,47.320000,43.598034,23088700
2018-10-29,47.810001,48.090000,46.340000,47.020000,43.321644,19248700
2018-10-30,47.080002,48.619999,46.919998,48.570000,44.749722,24438200
2018-10-31,49.049999,49.450001,48.590000,48.840000,44.998486,21082900
2018-11-01,48.959999,49.240002,48.340000,48.590000,44.768150,17764900
2018-11-02,48.930000,49.020000,48.240002,48.830002,44.989285,17289300
2018-11-05,49.000000,49.130001,48.500000,49.020000,45.164330,13125800
2018-11-06,49.099998,49.470001,48.830002,49.250000,45.376240,12362700
2018-11-07,49.580002,50.500000,49.470001,50.259998,46.306793,14329800
2018-11-08,50.220001,50.500000,50.070000,50.430000,46.463428,11966600
2018-11-09,50.419998,50.820000,50.310001,50.610001,46.629257,15316100
2018-11-12,50.169998,50.380001,49.110001,49.220001,45.348602,14374400
2018-11-13,49.470001,50.000000,49.240002,49.509998,45.615784,13550600
2018-11-14,49.970001,49.970001,48.740002,48.840000,44.998486,16094000
2018-11-15,50.040001,50.689999,49.049999,50.630001,46.647694,24922800
2018-11-16,50.529999,51.450001,50.419998,51.169998,47.145229,20929600
2018-11-19,51.049999,51.099998,49.400002,49.549999,45.652645,19520500
2018-11-20,48.669998,49.070000,47.959999,48.330002,44.528606,19389600
2018-11-21,48.759998,49.180000,48.529999,48.619999,44.795795,13859500
2018-11-23,48.040001,49.119999,48.040001,48.700001,44.869499,7807300
2018-11-26,49.160000,49.160000,48.099998,48.259998,44.464111,21603800
2018-11-27,47.919998,47.980000,46.790001,47.439999,43.708603,28054600
2018-11-28,47.730000,48.250000,47.369999,48.189999,44.399609,29352900
2018-11-29,48.380001,48.380001,47.439999,47.900002,44.132412,17052100
2018-11-30,48.090000,48.840000,47.709999,48.759998,44.924774,22884500
2018-12-03,49.439999,50.119999,49.209999,49.830002,45.910625,21966600
2018-12-04,49.520000,50.220001,48.709999,48.750000,44.915562,24643500
2018-12-06,47.750000,47.770000,45.650002,46.680000,43.008392,39877000
2018-12-07,46.759998,47.040001,45.810001,46.000000,42.381878,23978000
2018-12-10,46.009998,47.080002,45.340000,46.669998,42.999157,26375500
2018-12-11,46.980000,47.130001,46.060001,46.459999,42.805683,22680200
2018-12-12,47.110001,48.110001,47.009998,47.320000,43.598034,21404000
2018-12-13,47.480000,47.549999,46.750000,47.230000,43.515121,23295400
2018-12-14,46.779999,47.029999,46.410000,46.599998,42.934669,21434300
2018-12-17,46.419998,47.230000,45.529999,45.730000,42.133102,30441100
2018-12-18,48.099998,48.340000,45.439999,45.849998,42.243660,42855600
2018-12-19,46.060001,47.439999,45.750000,46.450001,42.796467,34397300
2018-12-20,46.049999,46.950001,45.480000,46.240002,42.602993,35165200
2018-12-21,46.080002,46.209999,43.860001,44.000000,40.539173,58768400
2018-12-24,43.770000,43.820000,42.680000,42.689999,39.332218,17230400
2018-12-26,43.000000,44.610001,42.400002,44.590000,41.082767,21428900
2018-12-27,43.950001,45.090000,43.459999,44.970001,41.432884,19048700
2018-12-28,45.139999,45.770000,44.740002,44.820000,41.294678,39141200
2018-12-31,45.189999,45.500000,44.840000,45.150002,41.598724,14932600
